0
"Label, TN, FP, FN, TP"
"Network,18,2,12,14"
"DB,45,0,0,1"
"Interpreter,16,2,12,16"
"Logging,4,6,3,33"
"Data Structure,45,0,0,1"
"i18n,44,0,2,0"
"Setup,36,0,2,8"
"Microservices,44,0,2,0"
"Test,40,0,2,4"
"IO,2,7,1,36"
"UI,3,7,0,36"
"App,41,0,4,1"
